created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Feb 27 13:48:00 +0000 2023;1630203094897405955;"Cristiano Ronaldo in 2023:  - Most Hattricks - Most Match Winners - Most Goals per min - Most G+A Ratio  - Most Player of the Match  Inevitable🐐 https://t.co/fdCVHLLg86";1;16;79;1069;en;1396816952392396801;1630203094897405955;EverythingCR7_;https://twitter.com/EverythingCR7_/status/1630203094897405955
Mon Feb 27 13:30:51 +0000 2023;1630198780694855682;"Benzema and Courtois being robbed of individual awards   Ronaldo: https://t.co/KQwiL1QkWL";71;207;2963;23658;en;851933132970438656;1630198780694855682;IconicCristiano;https://twitter.com/IconicCristiano/status/1630198780694855682
Mon Feb 27 13:09:01 +0000 2023;1630193286664290307;"Most Hat-tricks by active players:  1. Cristiano Ronaldo - 62 2. Lionel Messi - 56 3. Cristiano Ronaldo after turning 30 - 32 4. Robert Lewandowski - 30 5. Luis Suarez - 30  Not done yet 🐐 https://t.co/UrEAjR2y9V";4;32;215;3203;en;1229600073295618048;1630193286664290307;CristianoXtra_;https://twitter.com/CristianoXtra_/status/1630193286664290307
Mon Feb 27 12:58:54 +0000 2023;1630190741237686272;"NTR fans going to do Negative trend and giving R@pe threats to Monica Gleberman https://t.co/eEdbSmvgQU";19;37;398;741;en;1179074071977328640;1630190741237686272;ronaldo_mb_dhf;https://twitter.com/ronaldo_mb_dhf/status/1630190741237686272
Mon Feb 27 12:01:06 +0000 2023;1630176194640621569;"@ESPNFC “Lionel Messi reached 700 club goals in 103 fewer games than Cristiano Ronaldo 👀” https://t.co/E4DszQJZwm";1;18;15;1210;en;2207874012;1630175919733178368;RutaUTD;https://twitter.com/RutaUTD/status/1630176194640621569
Mon Feb 27 12:00:01 +0000 2023;1630175919733178368;"Lionel Messi reached 700 club goals in 103 fewer games than Cristiano Ronaldo 👀 https://t.co/9E08A8W42V";644;1719;6915;88784;en;18091004;1630175919733178368;ESPNFC;https://twitter.com/ESPNFC/status/1630175919733178368
Mon Feb 27 11:33:44 +0000 2023;1630169308138725378;"@TeamCRonaldo Goals in 2023   Me - 27 ( Bengaluru super leauge) Ronaldo -10(Saudi leauge) Mbappe -10 (Europe top 5 leauge) Haaland -6(Europe top 5 leauge)  I'm competing with everyone I'm better than everyone 😎😎😎";5;43;75;1944;en;1391699394085330947;1630161819158585344;MessiHarsha;https://twitter.com/MessiHarsha/status/1630169308138725378
Mon Feb 27 11:26:18 +0000 2023;1630167436736577536;"📸 Cristiano Ronaldo with the Saudi Minister of Sports yesterday.  https://t.co/fH66LlzVhj";1;8;120;2703;en;2427599888;1630167436736577536;TimelineCR7;https://twitter.com/TimelineCR7/status/1630167436736577536
Mon Feb 27 11:22:57 +0000 2023;1630166593878761474;"@TeamCRonaldo Goals in 2023 outside top 60 league:- 🇵🇹 Ronaldo - 10 🇸🇦 Shawerma -10 🇸🇦 Madrasa Maulvi -6  don't feel embarrassed bro.";0;9;27;1053;en;1263507756679483392;1630161819158585344;unmessy_22;https://twitter.com/unmessy_22/status/1630166593878761474
Mon Feb 27 11:03:59 +0000 2023;1630161819158585344;"Goals in 2023:  🇵🇹 Ronaldo - 10 🇫🇷 Mbappé - 10 🇳🇴 Haaland - 6  Cristiano Ronaldo is 38 years old and he's competing with prime mbappe and haaland.  GOAT For a reason. https://t.co/RiJPFeRkgf";248;756;1473;21584;en;2192335506;1630161819158585344;TeamCRonaldo;https://twitter.com/TeamCRonaldo/status/1630161819158585344
Mon Feb 27 10:54:49 +0000 2023;1630159514585407489;"Cristiano Ronaldo has scored more hat-tricks after the age of 30 than before 30. 🤯 https://t.co/yig101QAC3";3;35;237;4977;en;1095417811801915392;1630159514585407489;totalcristiano;https://twitter.com/totalcristiano/status/1630159514585407489
Mon Feb 27 10:52:26 +0000 2023;1630158915106217984;"🚨BIG BREAKING: Star Sports will broadcast all of Ronaldo’s world cup knockout stage goals this evening In 'FIFA The Best Gala 2023' &amp  it will be started by 6:00pm and end by 6:00pm. https://t.co/0sznYBLazk";16;69;263;2889;en;1543233768978546688;1630158915106217984;Troll_Fotballl;https://twitter.com/Troll_Fotballl/status/1630158915106217984
Mon Feb 27 10:48:22 +0000 2023;1630157891931078656;"Your idol literally won the ballon dor in 2010 by scoring 0 goals in the entire campaign of wc 2010.  No Evidence found on Ronaldo but klaudia from her basement thinks Ronaldo is rapist.";4;31;76;589;en;1279318216532127744;1630157891931078656;RonaldoW7_;https://twitter.com/RonaldoW7_/status/1630157891931078656
Mon Feb 27 10:42:30 +0000 2023;1630156415347093504;"Honestly, you can tell the fact United have indisputably got better since Ronaldo left is eating him up inside";9;38;633;15091;en;2565067392;1630156415347093504;Casey_Evans_;https://twitter.com/Casey_Evans_/status/1630156415347093504
Mon Feb 27 10:12:47 +0000 2023;1630148933354762240;"Casermiro has got his team-mates playing again and now winning trophies. His performance against Newcastle in the EFL Cup final was a leader's performance. Casemiro has done precisely what Ronaldo failed to do and that was unite the #MUFC playeds and he is now a fan favourite https://t.co/wafmGmLVXj";1;5;30;369;en;1726450196;1630148933354762240;United4fans;https://twitter.com/United4fans/status/1630148933354762240
